WordA	WordB	Cossim
defecate	penetrate	0.23949138889848154
hundredth	fate	0.1570548248214162
monsoon	steeply	0.23001589723229687
doubled	lump	0.18916349068040172
darts	carry	0.17840899250597264
string	role	0.15008832215364953
diminutive	gallows	0.15069487781467172
eatery	inmate	0.16880800032582688
boring	disguise	0.24718375527843772
exasperation	infallibility	0.2204441624924962
sacrifice	aiming	0.23267546085750457
supplement	steps	0.17897929682198543
finance	intersection	0.1517957538499376
insurgent	cunning	0.21276069639496786
crest	plane	0.20513769397571757
shady	scarce	0.2287709592530699
closeness	credible	0.19570412206711463
erectness	landholder	0.20723860725444276
rationalist	accuse	0.22001172855278606
hazy	heterogeneous	0.19897648051225114
thought	coincide	0.17272670411616953
anarchistic	hungrily	0.16524009558267572
polluting	culpability	0.248324053607078
catholicism	disobedience	0.20506180722657952
register	supplemental	0.15107733503375997
chaos	gains	0.22147761463032478
occasion	proximity	0.2354921444095135
zodiac	chooser	0.1566833185902745
cub	heifer	0.23850346751638918
displacement	orient	0.17548179156521393
