WordA	WordB	Cossim
analysis	consul	-0.05545573962041628
devious	adapter	-0.09344890577535225
tranquilly	plug	-0.05461220337958217
indirect	grunge	-0.06177978342795165
discount	tyrannical	-0.0779283755351301
pilgrim	inhibition	-0.05796905180468892
trillion	horsehair	-0.06553538410491022
gloomy	enrolled	-0.05599581251775443
mindset	dispersible	-0.09716725505857315
irresponsible	tropic	-0.06471493655616412
struggle	executer	-0.07850028380658358
cheekiness	guru	-0.07413329249714029
literature	bashfulness	-0.06352694096968148
shift	illusionist	-0.07410098066104753
disreputable	bronze	-0.051100768854676515
roadway	auntie	-0.059617280918246696
aloneness	later	-0.11651789893018583
rodeo	inestimably	-0.06826825754066812
embezzlement	slowly	-0.05136548047624667
adornment	per	-0.06017606305734047
known	practicability	-0.06380014796365785
bra	gnarl	-0.07531590959853829
rushing	lingual	-0.05273045130856269
defend	wideness	-0.08289442731685526
royally	rapid	-0.07406531611088285
tetanus	conman	-0.07613822886970145
crowbar	information	-0.06195167243975397
legislate	impressive	-0.05393605054867456
descending	infringe	-0.07856193967763181
shortcoming	tornado	-0.08403350583046887
